learner_id,course_id,week,sessions_available,sessions_attended,attendance_rate,login_count,active_minutes,content_views,assignment_submissions,assessment_attempts,average_score,score_trend,help_requests,forum_questions,mentor_contacts,feedback_score,feedback_sentiment,support_needed,attendance_rate_missing,login_count_missing,active_minutes_missing,content_views_missing,assignment_submissions_missing,assessment_attempts_missing,average_score_missing,score_trend_missing,help_requests_missing,forum_questions_missing,mentor_contacts_missing,feedback_score_missing,feedback_sentiment_missing,missing_feature_count
LNR-0001,DATA-201,1,2,2,1.0,7,225.7,19.0,1,1,61.5,-18.3,1.0,1.0,0.0,4.0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LNR-0001,DATA-201,2,3,3,1.0,7,167.2,25.0,1,1,69.9,-0.3,1.0,1.0,0.0,4.0,0.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3
LNR-0001,DATA-201,3,3,1,0.3333,0,25.6,1.0,0,1,64.6,-10.0,0.0,0.0,0.0,1.0,-0.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0001,DATA-201,4,3,0,0.0,0,41.1,1.0,0,0,69.9,-0.3,0.0,0.0,0.0,1.0,-0.64,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2
LNR-0001,DATA-201,5,3,1,0.3333,0,45.9,3.0,0,0,69.9,-0.3,0.0,0.0,0.0,2.0,-0.76,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2
LNR-0002,DATA-201,1,3,3,1.0,14,168.3,26.0,2,1,83.4,7.4,0.0,2.0,0.0,4.5,0.48,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
LNR-0002,DATA-201,2,4,4,1.0,14,246.6,33.0,2,1,79.9,-3.5,0.0,2.0,1.0,5.0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0002,DATA-201,3,3,3,1.0,8,143.1,26.0,2,1,84.8,4.9,0.0,1.0,0.0,5.0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0002,DATA-201,4,2,2,1.0,7,170.4,35.0,2,1,74.6,-10.2,1.0,1.0,2.0,5.0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0002,DATA-201,5,3,3,1.0,16,311.6,25.0,1,1,89.2,14.6,1.0,1.0,0.0,5.0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0003,AI-301,1,3,3,1.0,10,145.1,19.0,2,1,58.0,-3.6,0.0,1.0,0.0,3.5,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0003,AI-301,2,3,2,0.6667,9,168.3,26.0,1,1,55.1,-2.9,1.0,1.0,0.0,3.0,0.29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
LNR-0003,AI-301,3,3,2,0.6667,3,121.3,26.0,1,1,55.9,0.8,1.0,0.0,0.0,3.5,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0003,AI-301,4,3,3,1.0,5,69.1,24.0,1,1,63.1,7.2,0.0,1.0,0.0,3.0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0003,AI-301,5,3,2,0.6667,4,197.8,15.0,0,2,59.7,-3.4,0.0,0.0,0.0,3.0,0.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0004,DATA-201,1,3,2,0.6667,5,144.6,22.0,1,1,72.2,5.5,0.0,2.0,0.0,3.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0004,DATA-201,2,2,2,1.0,5,132.7,24.0,2,1,62.8,-9.4,1.0,0.0,0.0,4.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0004,DATA-201,3,3,2,0.6667,10,97.3,27.0,0,2,64.6,1.8,2.0,1.0,0.0,3.5,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0004,DATA-201,4,3,2,0.6667,6,115.5,24.0,1,1,66.6,2.0,0.0,1.0,0.0,4.0,0.19,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3
LNR-0004,DATA-201,5,4,3,0.75,8,123.3,21.0,1,1,76.9,10.3,0.0,1.0,0.0,4.0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0005,WEB-102,1,3,3,1.0,14,249.3,29.0,2,1,70.3,-2.5,3.0,1.0,1.0,5.0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0005,WEB-102,2,4,4,1.0,9,157.2,34.0,2,2,85.8,15.5,0.0,1.0,0.0,5.0,0.81,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3
LNR-0005,WEB-102,3,4,4,1.0,11,222.5,36.0,2,1,75.9,-9.9,2.0,0.0,0.0,5.0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0005,WEB-102,4,3,3,1.0,15,252.3,33.0,2,1,64.3,-11.6,0.0,0.0,0.0,4.0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNR-0005,WEB-102,5,3,3,1.0,7,229.5,29.0,1,1,66.2,1.9,0.0,2.0,1.0,4.0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
