learner_id,course_id,week,sessions_available,sessions_attended,attendance_rate,login_count,active_minutes,content_views,assignment_submissions,assessment_attempts,average_score,score_trend,help_requests,forum_questions,mentor_contacts,feedback_score,feedback_sentiment,support_needed,attendance_rate_missing,login_count_missing,active_minutes_missing,content_views_missing,assignment_submissions_missing,assessment_attempts_missing,average_score_missing,score_trend_missing,help_requests_missing,forum_questions_missing,mentor_contacts_missing,feedback_score_missing,feedback_sentiment_missing,missing_feature_count,activity_change,score_change,attendance_change,submission_rate,help_seeking_frequency,feedback_signal,overall_engagement_score,engagement_trend
LNR-0001,DATA-201,1,2,2,1.0,7,225.7,19.0,1,1,61.5,-18.3,1.0,1.0,0.0,4.0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,2.0,1.0,83.9,0.0
LNR-0001,DATA-201,2,3,3,1.0,7,167.2,25.0,1,1,69.9,-0.3,1.0,1.0,0.0,4.0,0.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,-58.5,8.400000000000006,0.0,0.6666666666666666,2.0,1.0,79.9,-5.5
LNR-0001,DATA-201,3,3,1,0.3333,0,25.6,1.0,0,1,64.6,-10.0,0.0,0.0,0.0,1.0,-0.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-141.6,-5.300000000000011,-0.6667000000000001,0.0,0.0,0.15100000000000002,28.7,-37.7
LNR-0001,DATA-201,4,3,0,0.0,0,41.1,1.0,0,0,69.9,-0.3,0.0,0.0,0.0,1.0,-0.64,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,15.5,5.300000000000011,-0.3333,0.0,0.0,0.13599999999999998,23.1,-4.8
LNR-0001,DATA-201,5,3,1,0.3333,0,45.9,3.0,0,0,69.9,-0.3,0.0,0.0,0.0,2.0,-0.76,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,4.799999999999997,0.0,0.3333,0.0,0.0,0.248,33.1,10.8
LNR-0002,DATA-201,1,3,3,1.0,14,168.3,26.0,2,1,83.4,7.4,0.0,2.0,0.0,4.5,0.48,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,1.3333333333333333,2.0,1.116,83.4,0.0
LNR-0002,DATA-201,2,4,4,1.0,14,246.6,33.0,2,1,79.9,-3.5,0.0,2.0,1.0,5.0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.29999999999998,-3.5,0.0,1.0,3.0,1.44,95.0,11.3
LNR-0002,DATA-201,3,3,3,1.0,8,143.1,26.0,2,1,84.8,4.9,0.0,1.0,0.0,5.0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.5,4.8999999999999915,0.0,1.3333333333333333,1.0,1.335,76.1,-14.8
LNR-0002,DATA-201,4,2,2,1.0,7,170.4,35.0,2,1,74.6,-10.2,1.0,1.0,2.0,5.0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.30000000000001,-10.200000000000003,0.0,1.5,4.0,1.405,86.4,-0.5
LNR-0002,DATA-201,5,3,3,1.0,16,311.6,25.0,1,1,89.2,14.6,1.0,1.0,0.0,5.0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.20000000000002,14.600000000000009,0.0,0.6666666666666666,2.0,1.3599999999999999,92.3,27.3
